,Date,Close,Percentage_Increase_Decrease,Amount_Invested,return_on_investment
3453,2021-10-27,18210.94921875,-0.31448386638428527,110.0,2284166.6351726926
3454,2021-10-28,17857.25,-1.94223384240636,658.0,2240460.7777674138
3455,2021-10-29,17671.650390625,-1.0393515763905459,2731.0,2219905.513355276
3456,2021-11-01,17929.650390625,1.459965505750782,0.0,2252315.368110523
3457,2021-11-02,17888.94921875,-0.22700482713416958,113.0,2247315.5035026274
3458,2021-11-03,17829.19921875,-0.33400508475575075,163.0,2239972.3554504244
3459,2021-11-04,17916.80078125,0.4913376165984751,0.0,2250978.182234159
3460,2021-11-08,18068.55078125,0.8469704042186388,0.0,2270043.3012431012
3461,2021-11-09,18044.25,-0.1344921435271762,63.0,2267053.2713482645
3462,2021-11-10,18017.19921875,-0.14991358050348014,69.0,2263723.650617265
3463,2021-11-11,17873.599609375,-0.7970140510272006,365.0,2246046.4550454197
3464,2021-11-12,18102.75,1.2820606684330382,0.0,2274842.1332402914
3465,2021-11-15,18109.44921875,0.03700663573213969,0.0,2275683.975782021
3466,2021-11-16,17999.19921875,-0.6087981951756416,257.0,2262086.652809559
3467,2021-11-17,17898.650390625,-0.5586294529162039,221.0,2249670.970516478
3468,2021-11-18,17764.80078125,-0.7478195643460861,280.0,2233127.4908655416
3469,2021-11-22,17416.55078125,-1.9603372100156835,680.0,2190030.661715015
3470,2021-11-23,17503.349609375,0.49836979327988473,0.0,2200945.11299657
3471,2021-11-24,17415.05078125,-0.5044681737814694,140.0,2189982.0453791036
3472,2021-11-25,17536.25,0.6959452503032093,0.0,2205223.1214064127
3473,2021-11-26,17026.44921875,-2.9071254187753914,770.0,2141884.519503295
3474,2021-11-29,17053.94921875,0.16151341742889347,0.0,2145343.950388125
3475,2021-11-30,16983.19921875,-0.41485991949720136,1879.0,2138322.778202607
3476,2021-12-01,17166.900390625,1.081664117042136,0.0,2161452.248400963
3477,2021-12-02,17401.650390625,1.3674571102433752,0.0,2191009.180856237
